index,total_num,average_num,average_fee,day_deliver_coupon_num,coupon_discount,day_order_num,day_average_order_fee,step
0.0,10.0,1.4285714285714286,32.32347146,0.0,0.95,0.0,0.0,0.0
0.0,10.0,1.4285714285714286,32.32347146,0.0,0.95,0.0,0.0,1.0
0.0,10.0,1.4285714285714286,32.32347146,2.0,0.7,1.0,33.67958294,2.0
0.0,11.0,1.375,32.492985395,2.0,0.65,2.0,27.10418701,3.0
0.0,13.0,1.4444444444444444,31.894230018888887,0.0,0.95,0.0,0.0,4.0
0.0,13.0,1.4444444444444444,31.894230018888887,0.0,0.95,0.0,0.0,5.0
0.0,13.0,1.4444444444444444,31.894230018888887,0.0,0.95,0.0,0.0,6.0
0.0,13.0,1.4444444444444444,31.894230018888887,0.0,0.95,0.0,0.0,7.0
0.0,13.0,1.4444444444444444,31.894230018888887,2.0,0.6,1.0,30.23286004,8.0
0.0,14.0,1.4,31.728093021,0.0,0.95,0.0,0.0,9.0
0.0,14.0,1.4,31.728093021,0.0,0.95,0.0,0.0,10.0
0.0,14.0,1.4,31.728093021,0.0,0.95,0.0,0.0,11.0
0.0,14.0,1.4,31.728093021,0.0,0.95,0.0,0.0,12.0
0.0,14.0,1.4,31.728093021,0.0,0.95,0.0,0.0,13.0
0.0,14.0,1.4,31.728093021,2.0,0.6,2.0,34.43816215,14.0
0.0,16.0,1.4545454545454544,31.97446294181818,0.0,0.95,0.0,0.0,15.0
0.0,16.0,1.4545454545454544,31.97446294181818,0.0,0.95,0.0,0.0,16.0
0.0,16.0,1.4545454545454544,31.97446294181818,0.0,0.95,0.0,0.0,17.0
0.0,16.0,1.4545454545454544,31.97446294181818,0.0,0.95,0.0,0.0,18.0
0.0,16.0,1.4545454545454544,31.97446294181818,0.0,0.95,0.0,0.0,19.0
0.0,16.0,1.4545454545454544,31.97446294181818,0.0,0.95,0.0,0.0,20.0
0.0,16.0,1.4545454545454544,31.97446294181818,0.0,0.95,0.0,0.0,21.0
0.0,16.0,1.4545454545454544,31.97446294181818,0.0,0.95,0.0,0.0,22.0
0.0,16.0,1.4545454545454544,31.97446294181818,2.0,0.6,1.0,35.40242235,23.0
0.0,17.0,1.4166666666666665,32.26012622583333,0.0,0.95,0.0,0.0,24.0
0.0,17.0,1.4166666666666665,32.26012622583333,2.0,0.6,2.0,26.96582377,25.0
0.0,19.0,1.4615384615384615,31.85287219076923,0.0,0.95,0.0,0.0,26.0
0.0,19.0,1.4615384615384615,31.85287219076923,2.0,0.6,1.0,27.25801468,27.0
0.0,20.0,1.4285714285714284,31.52466808285714,2.0,0.6,1.0,25.88395178,28.0
0.0,21.0,1.4,31.14862032933333,0.0,0.95,0.0,0.0,29.0
1.0,3.0,1.0,1.5847110649999998,0.0,0.95,0.0,0.0,0.0
1.0,3.0,1.0,1.5847110649999998,1.0,0.9,0.0,0.0,1.0
1.0,3.0,1.0,1.5847110649999998,0.0,0.95,0.0,0.0,2.0
1.0,3.0,1.0,1.5847110649999998,0.0,0.95,0.0,0.0,3.0
1.0,3.0,1.0,1.5847110649999998,1.0,0.9,0.0,0.0,4.0
1.0,3.0,1.0,1.5847110649999998,0.0,0.95,0.0,0.0,5.0
1.0,3.0,1.0,1.5847110649999998,0.0,0.95,0.0,0.0,6.0
1.0,3.0,1.0,1.5847110649999998,1.0,0.9,0.0,0.0,7.0
1.0,3.0,1.0,1.5847110649999998,0.0,0.95,0.0,0.0,8.0
1.0,3.0,1.0,1.5847110649999998,0.0,0.95,0.0,0.0,9.0
1.0,3.0,1.0,1.5847110649999998,1.0,0.9,0.0,0.0,10.0
1.0,3.0,1.0,1.5847110649999998,1.0,0.9,0.0,0.0,11.0
1.0,3.0,1.0,1.5847110649999998,0.0,0.95,0.0,0.0,12.0
1.0,3.0,1.0,1.5847110649999998,0.0,0.95,0.0,0.0,13.0
1.0,3.0,1.0,1.5847110649999998,1.0,0.9,0.0,0.0,14.0
1.0,3.0,1.0,1.5847110649999998,0.0,0.95,0.0,0.0,15.0
1.0,3.0,1.0,1.5847110649999998,1.0,0.9,0.0,0.0,16.0
1.0,3.0,1.0,1.5847110649999998,0.0,0.95,0.0,0.0,17.0
1.0,3.0,1.0,1.5847110649999998,1.0,0.9,0.0,0.0,18.0
1.0,3.0,1.0,1.5847110649999998,1.0,0.9,0.0,0.0,19.0
1.0,3.0,1.0,1.5847110649999998,0.0,0.95,0.0,0.0,20.0
1.0,3.0,1.0,1.5847110649999998,0.0,0.95,0.0,0.0,21.0
1.0,3.0,1.0,1.5847110649999998,0.0,0.95,0.0,0.0,22.0
1.0,3.0,1.0,1.5847110649999998,0.0,0.95,0.0,0.0,23.0
1.0,3.0,1.0,1.5847110649999998,0.0,0.95,0.0,0.0,24.0
1.0,3.0,1.0,1.5847110649999998,0.0,0.95,0.0,0.0,25.0
1.0,3.0,1.0,1.5847110649999998,0.0,0.95,0.0,0.0,26.0
1.0,3.0,1.0,1.5847110649999998,0.0,0.95,0.0,0.0,27.0
1.0,3.0,1.0,1.5847110649999998,1.0,0.9,0.0,0.0,28.0
1.0,3.0,1.0,1.5847110649999998,0.0,0.95,0.0,0.0,29.0
2.0,25.0,1.3157894736842106,22.75237743368421,0.0,0.95,0.0,0.0,0.0
2.0,25.0,1.3157894736842106,22.75237743368421,2.0,0.6,2.0,21.97684646,1.0
2.0,27.0,1.35,22.713600884999998,0.0,0.95,1.0,21.4643985,2.0
2.0,28.0,1.3333333333333335,22.654115057142857,0.0,0.95,1.0,21.41835988,3.0
2.0,29.0,1.3181818181818183,22.597944367272728,0.0,0.95,0.0,0.0,4.0
2.0,29.0,1.3181818181818183,22.597944367272728,2.0,0.6,1.0,21.87897265,5.0
2.0,30.0,1.3043478260869568,22.566684727391305,0.0,0.95,0.0,0.0,6.0
2.0,30.0,1.3043478260869568,22.566684727391305,0.0,0.95,1.0,21.55467719,7.0
2.0,31.0,1.291666666666667,22.524517746666668,0.0,0.95,1.0,21.71427459,8.0
2.0,32.0,1.2800000000000002,22.4921080204,0.0,0.95,0.0,0.0,9.0
2.0,32.0,1.2800000000000002,22.4921080204,0.0,0.95,1.0,21.0658595,10.0
2.0,33.0,1.2692307692307694,22.43725230807692,0.0,0.95,1.0,21.70908898,11.0
2.0,34.0,1.2592592592592593,22.410283295925925,0.0,0.95,1.0,21.36353254,12.0
2.0,35.0,1.25,22.372899340357144,2.0,0.6,2.0,20.99702358,13.0
2.0,37.0,1.2758620689655173,22.32545534862069,0.0,0.95,1.0,20.95125616,14.0
2.0,38.0,1.2666666666666668,22.279648709,0.0,0.95,0.0,0.0,15.0
2.0,38.0,1.2666666666666668,22.279648709,0.0,0.95,1.0,20.84389329,16.0
2.0,39.0,1.2580645161290325,22.233334018064514,0.0,0.95,0.0,0.0,17.0
2.0,39.0,1.2580645161290325,22.233334018064514,0.0,0.95,1.0,20.83323151,18.0
2.0,40.0,1.2500000000000002,22.1895808146875,2.0,0.6,1.0,20.74447572,19.0
2.0,41.0,1.2424242424242427,22.14578975121212,0.0,0.95,1.0,20.7061395,20.0
2.0,42.0,1.235294117647059,22.103447096764704,0.0,0.95,0.0,0.0,21.0
2.0,42.0,1.235294117647059,22.103447096764704,0.0,0.95,1.0,21.00111842,22.0
2.0,43.0,1.2285714285714289,22.071951991714283,2.0,0.6,1.0,20.93573511,23.0
2.0,44.0,1.2222222222222225,22.040390411666664,0.0,0.95,1.0,20.56706846,24.0
2.0,45.0,1.2162162162162165,22.000570899459458,0.0,0.95,1.0,20.50856203,25.0
2.0,46.0,1.210526315789474,21.961307508157894,0.0,0.95,1.0,21.03570402,26.0
2.0,47.0,1.2051282051282053,21.937574085384615,0.0,0.95,0.0,0.0,27.0
2.0,47.0,1.2051282051282053,21.937574085384615,2.0,0.6,1.0,23.91929888,28.0
2.0,48.0,1.2000000000000002,21.987117205249998,0.0,0.95,2.0,20.78775764,29.0
3.0,24.0,1.0434782608695652,44.35676066260869,0.0,0.95,0.0,0.0,0.0
3.0,24.0,1.0434782608695652,44.35676066260869,0.0,0.95,0.0,0.0,1.0
3.0,24.0,1.0434782608695652,44.35676066260869,0.0,0.95,1.0,37.29347587,2.0
3.0,25.0,1.0416666666666667,44.06245712958333,0.0,0.95,1.0,34.83990133,3.0
3.0,26.0,1.04,43.693554897599995,0.0,0.95,1.0,33.73547494,4.0
3.0,27.0,1.0384615384615385,43.31055182230769,0.0,0.95,1.0,38.11394572,5.0
3.0,28.0,1.0370370370370372,43.118084929629624,0.0,0.95,1.0,37.85623014,6.0
3.0,29.0,1.0357142857142858,42.93016154428571,0.0,0.95,0.0,0.0,7.0
3.0,29.0,1.0357142857142858,42.93016154428571,0.0,0.95,0.0,0.0,8.0
3.0,29.0,1.0357142857142858,42.93016154428571,0.0,0.95,1.0,33.00031722,9.0
3.0,30.0,1.0344827586206897,42.58775311931034,0.0,0.95,0.0,0.0,10.0
3.0,30.0,1.0344827586206897,42.58775311931034,0.0,0.95,1.0,33.30137432,11.0
3.0,31.0,1.0333333333333334,42.278207159333334,0.0,0.95,1.0,36.31626368,12.0
3.0,32.0,1.0322580645161292,42.08588640193548,0.0,0.95,1.0,33.29777122,13.0
3.0,33.0,1.0312500000000002,41.8112578025,0.0,0.95,0.0,0.0,14.0
3.0,33.0,1.0312500000000002,41.8112578025,0.0,0.95,0.0,0.0,15.0
3.0,33.0,1.0312500000000002,41.8112578025,2.0,0.6,1.0,36.04094684,16.0
3.0,34.0,1.0303030303030305,41.636399894545455,0.0,0.95,1.0,35.94815433,17.0
3.0,35.0,1.0294117647058825,41.469098554411765,0.0,0.95,0.0,0.0,18.0
3.0,35.0,1.0294117647058825,41.469098554411765,0.0,0.95,2.0,31.74601495,19.0
3.0,37.0,1.0571428571428572,41.191296165714284,0.0,0.95,0.0,0.0,20.0
3.0,37.0,1.0571428571428572,41.191296165714284,0.0,0.95,0.0,0.0,21.0
3.0,37.0,1.0571428571428572,41.191296165714284,0.0,0.95,0.0,0.0,22.0
3.0,37.0,1.0571428571428572,41.191296165714284,0.0,0.95,1.0,35.23241282,23.0
3.0,38.0,1.0555555555555556,41.02577162833333,0.0,0.95,1.0,32.13782907,24.0
3.0,39.0,1.0540540540540542,40.78555696459459,0.0,0.95,0.0,0.0,25.0
3.0,39.0,1.0540540540540542,40.78555696459459,2.0,0.6,1.0,34.62864161,26.0
3.0,40.0,1.0526315789473686,40.623532876315785,0.0,0.95,0.0,0.0,27.0
3.0,40.0,1.0526315789473686,40.623532876315785,0.0,0.95,0.0,0.0,28.0
